Q3,Q4,Q5,Q6,Q7_Part_1,Q7_Part_2,Q7_Part_3,Q7_Part_4,Q7_Part_5,Q7_Part_6,Q7_Part_7,Q7_Part_8,Q7_Part_9,Q7_Part_10,Q7_Part_11,Q7_Part_12,Q7_OTHER,Q8,Q17_Part_1,Q17_Part_2,Q17_Part_3,Q17_Part_4,Q17_Part_5,Q17_Part_6,Q17_Part_7,Q17_Part_8,Q17_Part_9,Q17_Part_10,Q17_Part_11,Q17_OTHER,Q24
Argentina,Bachelor’s degree,Software Engineer,20+ years,,,SQL,,,,,,,,,,Other,Python,,,,,,,,,,,,,"15,000-19,999"
Netherlands,Master’s degree,Data Scientist,20+ years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"100,000-124,999"
Turkey,Bachelor’s degree,Student,3-5 years,Python,,,C,,,Javascript,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,Convolutional Neural Networks,,,,,,
United States of America,Some college/university study without earning a bachelor’s degree,Student,< 1 years,,,,,,,,,,,,None,,Python,,,,,,,,,,,,,
India,Master’s degree,Machine Learning Engineer,3-5 years,Python,,SQL,C,C++,Java,Javascript,,,,,,,MATLAB,Linear or Logistic Regression,,,,Evolutionary Approaches,"Dense Neural Networks (MLPs, etc)",,,,,,,"10,000-14,999"
United States of America,Bachelor’s degree,Currently not employed,< 1 years,Python,,SQL,,,,,,,,,,,Python,,,,,,,,,,,,,
Spain,I prefer not to answer,Other,1-2 years,Python,,,,,,,,,,,,,Python,,,,,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,"20,000-24,999"
Portugal,Master’s degree,Data Analyst,10-20 years,,,SQL,,,,,,,,,,,SQL,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"30,000-39,999"
United States of America,Doctoral degree,Student,3-5 years,Python,,,,,,,,,,,,,Python,,,,,,,Convolutional Neural Networks,Generative Adversarial Networks,,"Transformer Networks (BERT, gpt-3, etc)",,,
Philippines,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Python,,,,,Java,Javascript,,,,,,,Python,,,,,,,,,,,,,
Russia,Master’s degree,Software Engineer,5-10 years,,,,,,Java,,,,,,,,Python,,,,,,,,,,,,,
Argentina,Bachelor’s degree,Data Scientist,5-10 years,Python,,,,,,,,,,,,,Python,,,,,,,,,,,,,
Malaysia,Doctoral degree,Research Scientist,20+ years,Python,,,C,C++,Java,,,,,MATLAB,,,Python,,,,,,,,,,,,,
Malaysia,Master’s degree,Student,3-5 years,Python,R,,,,,,,,Bash,MATLAB,,,R,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,Recurrent Neural Networks,,,,
United States of America,Master’s degree,Currently not employed,< 1 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,
United Kingdom of Great Britain and Northern Ireland,Professional degree,Other,20+ years,Python,,SQL,,,Java,,,,Bash,,,,Python,,,,Bayesian Approaches,,,,Generative Adversarial Networks,,,,,"100,000-124,999"
Sweden,Bachelor’s degree,Data Analyst,10-20 years,Python,R,SQL,C,C++,,,,,Bash,,,,Python,,,,,,,,,,,,,"30,000-39,999"
Japan,Bachelor’s degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,Bachelor’s degree,Machine Learning Engineer,< 1 years,Python,,,,,,,,,,MATLAB,,,Python,,,,,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,$0-999
Tunisia,Master’s degree,Data Analyst,3-5 years,Python,,SQL,C,C++,Java,Javascript,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,$0-999
United Arab Emirates,Doctoral degree,Product/Project Manager,3-5 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,"Dense Neural Networks (MLPs, etc)",,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,"50,000-59,999"
Mexico,Master’s degree,Student,1-2 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,
Nigeria,Doctoral degree,Data Scientist,3-5 years,,,,,,,,,,,,,Other,SQL,,Decision Trees or Random Forests,,Bayesian Approaches,,,,,Recurrent Neural Networks,,,,"7,500-9,999"
Brazil,Some college/university study without earning a bachelor’s degree,Student,5-10 years,Python,,,C,C++,,,,,Bash,,,,C,,,,,Evolutionary Approaches,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,
United States of America,Master’s degree,Data Scientist,20+ years,Python,,,,,,,Julia,,,,,,Julia,Linear or Logistic Regression,,,Bayesian Approaches,,,,,,,,,"100,000-124,999"
Spain,Master’s degree,Business Analyst,1-2 years,,R,,,,,,,,,,,,Python,,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,
India,Bachelor’s degree,Business Analyst,1-2 years,Python,R,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"> $500,000"
Viet Nam,Bachelor’s degree,Data Scientist,1-2 years,Python,,,,C++,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,$0-999
Brazil,Bachelor’s degree,Software Engineer,20+ years,Python,,SQL,,,,Javascript,,,,,,Other,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"15,000-19,999"
India,Bachelor’s degree,Student,3-5 years,Python,,,C,,Java,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,
Russia,Master’s degree,Product/Project Manager,< 1 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,$0-999
Nigeria,Bachelor’s degree,Student,< 1 years,Python,,,,,,,,,,,,,Python,,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,
United States of America,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Python,,,,,Java,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,Recurrent Neural Networks,,,,
Ireland,Doctoral degree,Software Engineer,3-5 years,Python,,,C,C++,,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,"50,000-59,999"
Nigeria,Bachelor’s degree,Data Scientist,1-2 years,Python,R,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,"1,000-1,999"
Other,Master’s degree,Data Scientist,5-10 years,Python,,SQL,,,,Javascript,Julia,,Bash,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,,,,"80,000-89,999"
Brazil,Bachelor’s degree,Other,1-2 years,Python,R,SQL,C,,Java,Javascript,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"2,000-2,999"
Russia,Bachelor’s degree,Machine Learning Engineer,3-5 years,Python,,SQL,,,Java,,,Swift,,MATLAB,,,Python,,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,Evolutionary Approaches,"Dense Neural Networks (MLPs, etc)",,,,"Transformer Networks (BERT, gpt-3, etc)",,,"1,000-1,999"
Peru,Master’s degree,Data Analyst,3-5 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,"7,500-9,999"
Argentina,Master’s degree,Business Analyst,< 1 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,$0-999
Canada,Doctoral degree,Data Scientist,20+ years,,R,SQL,C,C++,,,,,,MATLAB,,Other,Other,,,,,,,,,,,,,$0-999
Nigeria,Master’s degree,Statistician,5-10 years,Python,R,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,$0-999
China,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years,Python,R,SQL,,,,,,,,MATLAB,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"7,500-9,999"
Indonesia,Master’s degree,Data Analyst,< 1 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,$0-999
Turkey,Bachelor’s degree,Data Analyst,< 1 years,Python,,SQL,,,,,,,,,,,Python,,,,,,,,,,,,,
China,Master’s degree,Student,3-5 years,Python,,,,C++,,,,,,MATLAB,,,C++,,Decision Trees or Random Forests,,,,,,,,,,,
Malaysia,Bachelor’s degree,Business Analyst,< 1 years,Python,,,,,,,,,,,,Other,Python,,,,,,,,,,,,,$0-999
Mexico,I prefer not to answer,Currently not employed,< 1 years,Python,,SQL,,,,,,,,,,Other,SQL,,,,,,,,,,,,,
India,Bachelor’s degree,Currently not employed,3-5 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,,,,
United States of America,Master’s degree,Data Analyst,5-10 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,"100,000-124,999"
India,Bachelor’s degree,Other,< 1 years,Python,R,,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,$0-999
India,Master’s degree,Data Scientist,5-10 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,"20,000-24,999"
"Iran, Islamic Republic of...",Some college/university study without earning a bachelor’s degree,Other,< 1 years,Python,,,,C++,,,,,,MATLAB,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,"Dense Neural Networks (MLPs, etc)",,,Recurrent Neural Networks,,,,$0-999
Australia,Master’s degree,Currently not employed,1-2 years,,,SQL,,,Java,,,,,,,,Java,,,,,,,,,,,,,
India,Bachelor’s degree,Other,< 1 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,"5,000-7,499"
India,Master’s degree,Data Analyst,< 1 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,$0-999
United States of America,Master’s degree,DBA/Database Engineer,10-20 years,Python,,SQL,,,,Javascript,,,,,,,Python,Linear or Logistic Regression,,,,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,"150,000-199,999"
Philippines,Master’s degree,Statistician,3-5 years,,R,,,,,,,,,,,,Python,,,,,,,,,,,,,
India,Master’s degree,Data Scientist,1-2 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,$0-999
Russia,Master’s degree,Data Scientist,3-5 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,"30,000-39,999"
Morocco,Master’s degree,Currently not employed,3-5 years,Python,,,,,,,,,,,,,Python,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,,,,
China,Bachelor’s degree,Currently not employed,< 1 years,Python,,,C,,,,,,,MATLAB,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,
United States of America,Bachelor’s degree,Other,20+ years,Python,R,SQL,C,,,Javascript,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,"200,000-249,999"
Portugal,Master’s degree,Product/Project Manager,10-20 years,,,,,,,,,,,,None,,MATLAB,,,,,,,,,,,,,"50,000-59,999"
United States of America,Master’s degree,Other,1-2 years,Python,,SQL,,,,Javascript,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"50,000-59,999"
Other,I prefer not to answer,Software Engineer,3-5 years,,,SQL,,,Java,,,,,,,,Javascript,Linear or Logistic Regression,,,,,,,,,,,,$0-999
Tunisia,Doctoral degree,Research Scientist,5-10 years,Python,R,SQL,C,C++,Java,Javascript,,,,MATLAB,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,Evolutionary Approaches,,,Generative Adversarial Networks,,,,,$0-999
Spain,Master’s degree,Data Scientist,10-20 years,Python,,,,,,,,,,,,,Python,,Decision Trees or Random Forests,,,Evolutionary Approaches,,,,,,,,"25,000-29,999"
India,Bachelor’s degree,Machine Learning Engineer,5-10 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,"2,000-2,999"
India,Master’s degree,Machine Learning Engineer,10-20 years,Python,,,C,C++,,,,,,,,,Python,Linear or Logistic Regression,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,"50,000-59,999"
India,Bachelor’s degree,Student,1-2 years,Python,,,,,,,,,,,,,Python,,,,,,,,,,,,,
United States of America,Master’s degree,Data Analyst,3-5 years,Python,R,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,$0-999
Italy,Doctoral degree,Research Scientist,20+ years,Python,R,,,,,,,,,,,,Python,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,Evolutionary Approaches,,,Generative Adversarial Networks,,,,,"10,000-14,999"
Other,Some college/university study without earning a bachelor’s degree,Student,< 1 years,,R,,,,,,,,,,,,R,,,,,,,,,,,,,
France,Master’s degree,Other,10-20 years,Python,,,,,,,,,,,,,Python,,,,,,,,,,,None,,"40,000-49,999"
China,Doctoral degree,Student,3-5 years,Python,,,,C++,,,,,,,,,Python,Linear or Logistic Regression,,,Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,
Other,Master’s degree,Currently not employed,< 1 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,
India,Master’s degree,Data Scientist,1-2 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,"10,000-14,999"
India,I prefer not to answer,Student,3-5 years,Python,,,,,,,,,,,,,Python,,,,,,,Convolutional Neural Networks,,,,,,
Netherlands,Doctoral degree,Software Engineer,10-20 years,Python,,,C,C++,,,,,Bash,,,,Python,Linear or Logistic Regression,,,,,,Convolutional Neural Networks,Generative Adversarial Networks,,,,,"80,000-89,999"
India,Master’s degree,Software Engineer,1-2 years,Python,,,C,,Java,,,,,,,,C,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,$0-999
Australia,Master’s degree,Product/Project Manager,20+ years,Python,,SQL,,,,,,,,,,,Other,,,,,,,,,,,,,$0-999
United States of America,Doctoral degree,Research Scientist,1-2 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,$0-999
United States of America,Master’s degree,Data Engineer,20+ years,Python,R,SQL,,,Java,,,,,,,,MATLAB,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,Generative Adversarial Networks,,,,,"200,000-249,999"
India,Bachelor’s degree,Student,3-5 years,Python,,SQL,C,C++,Java,Javascript,,,,,,,C,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,,,,
Republic of Korea,Bachelor’s degree,Data Scientist,5-10 years,Python,,SQL,C,,,Javascript,,,,,,,Python,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,"80,000-89,999"
Spain,Doctoral degree,Research Scientist,5-10 years,Python,,,,,,,,,,MATLAB,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"15,000-19,999"
Portugal,Bachelor’s degree,Other,3-5 years,,R,,,,,Javascript,,,,,,,R,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,
India,Doctoral degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,Master’s degree,Machine Learning Engineer,20+ years,,,,,C++,,,,,,MATLAB,,,C++,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",,,,,,Other,"70,000-79,999"
India,Bachelor’s degree,Currently not employed,< 1 years,Python,,,,,,,,,,,,,Python,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States of America,Doctoral degree,Data Scientist,20+ years,Python,R,SQL,C,,,,Julia,,,MATLAB,,Other,Julia,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,Evolutionary Approaches,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,"150,000-199,999"
India,Bachelor’s degree,Machine Learning Engineer,1-2 years,Python,,,C,C++,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,$0-999
India,Bachelor’s degree,Student,1-2 years,Python,,,,C++,,,,,,,,,Python,,,,,,,,,,,,,
India,Master’s degree,Data Scientist,1-2 years,Python,R,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,$0-999
Netherlands,Bachelor’s degree,Product/Project Manager,3-5 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"100,000-124,999"
United States of America,Bachelor’s degree,Data Scientist,3-5 years,Python,,SQL,,,,,,,,,,Other,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"100,000-124,999"
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Currently not employed,20+ years,Python,R,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,
India,Some college/university study without earning a bachelor’s degree,Student,< 1 years,Python,,,,,,,,,,,,,Python,,Decision Trees or Random Forests,,,,,,,,,,,
Nigeria,Master’s degree,Currently not employed,1-2 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,
Nigeria,Master’s degree,Research Scientist,3-5 years,Python,,,C,C++,Java,,,,,,,,Javascript,,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,$0-999
United States of America,Some college/university study without earning a bachelor’s degree,Currently not employed,5-10 years,Python,,,,C++,,,,,,,,,Python,,,,,,,,,,,,,
South Africa,Master’s degree,Student,5-10 years,Python,,SQL,,,,,,,Bash,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,Recurrent Neural Networks,,,,
South Korea,Bachelor’s degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,No formal education past high school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Bachelor’s degree,Machine Learning Engineer,3-5 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,"7,500-9,999"
