Q3,Q4,Q5,Q6,Q8
France,Master’s degree,Currently not employed,3-5 years,Python
India,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Python
Brazil,Bachelor’s degree,Data Analyst,10-20 years,Python
India,Master’s degree,Data Scientist,< 1 years,Python
Italy,Master’s degree,Data Scientist,5-10 years,Python
Nigeria,Master’s degree,Software Engineer,3-5 years,MATLAB
"Iran, Islamic Republic of...",Master’s degree,Student,< 1 years,Python
Morocco,Bachelor’s degree,Data Scientist,< 1 years,Python
India,Bachelor’s degree,Software Engineer,3-5 years,Python
South Africa,Master’s degree,Software Engineer,20+ years,Python
India,Master’s degree,Student,5-10 years,Python
Portugal,Master’s degree,Data Engineer,20+ years,Python
India,Bachelor’s degree,Data Engineer,1-2 years,C
Sweden,Master’s degree,Software Engineer,10-20 years,Python
Other,Master’s degree,Data Scientist,1-2 years,Python
Japan,No formal education past high school,Data Analyst,1-2 years,Python
Canada,Bachelor’s degree,Business Analyst,3-5 years,Python
Colombia,Doctoral degree,Data Scientist,10-20 years,Python
Peru,Bachelor’s degree,Currently not employed,< 1 years,Python
India,Bachelor’s degree,Student,1-2 years,Python
Spain,Master’s degree,DBA/Database Engineer,3-5 years,Python
India,Bachelor’s degree,Software Engineer,3-5 years,Python
India,Master’s degree,DBA/Database Engineer,1-2 years,Python
India,Bachelor’s degree,Software Engineer,20+ years,Python
China,Master’s degree,,,
India,Bachelor’s degree,Data Scientist,1-2 years,Python
United States of America,Master’s degree,Currently not employed,20+ years,Python
Egypt,Bachelor’s degree,Data Scientist,3-5 years,Python
United States of America,Master’s degree,Student,5-10 years,Python
Sweden,Master’s degree,Product/Project Manager,10-20 years,Python
Romania,Bachelor’s degree,Student,5-10 years,Python
India,Bachelor’s degree,Student,< 1 years,Python
India,Master’s degree,Currently not employed,< 1 years,
United States of America,Doctoral degree,Data Scientist,5-10 years,Python
Viet Nam,Master’s degree,Data Scientist,3-5 years,Python
India,Master’s degree,Other,10-20 years,Java
China,Bachelor’s degree,Software Engineer,1-2 years,Python
Poland,Doctoral degree,Machine Learning Engineer,10-20 years,Python
India,Master’s degree,Research Scientist,3-5 years,Python
Other,Doctoral degree,Data Engineer,5-10 years,Python
United States of America,Master’s degree,Student,< 1 years,MATLAB
India,I prefer not to answer,Currently not employed,< 1 years,Python
India,Professional degree,Currently not employed,1-2 years,Python
Other,Bachelor’s degree,Other,1-2 years,Python
Other,Master’s degree,Data Analyst,< 1 years,SQL
United States of America,Some college/university study without earning a bachelor’s degree,Other,3-5 years,
Romania,Master’s degree,Data Engineer,1-2 years,SQL
Australia,Master’s degree,Data Scientist,5-10 years,Python
Germany,Master’s degree,Student,3-5 years,Python
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,< 1 years,Python
Egypt,Bachelor’s degree,Research Scientist,3-5 years,Python
Nigeria,Master’s degree,Data Scientist,1-2 years,Python
Pakistan,Bachelor’s degree,Currently not employed,3-5 years,Python
India,Bachelor’s degree,Student,1-2 years,Python
Brazil,Bachelor’s degree,Data Analyst,20+ years,Python
United States of America,Bachelor’s degree,Currently not employed,20+ years,Python
India,Bachelor’s degree,Student,3-5 years,Python
India,Bachelor’s degree,Student,< 1 years,Python
China,Master’s degree,Business Analyst,1-2 years,Python
United States of America,Doctoral degree,Software Engineer,20+ years,Python
India,Master’s degree,Currently not employed,1-2 years,Python
United States of America,Doctoral degree,Data Scientist,5-10 years,Python
Ukraine,Master’s degree,Machine Learning Engineer,1-2 years,Python
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Currently not employed,20+ years,Python
India,Master’s degree,Student,3-5 years,R
United States of America,Master’s degree,Data Analyst,1-2 years,Python
Argentina,Bachelor’s degree,Other,< 1 years,Python
India,Master’s degree,Data Scientist,5-10 years,Python
Indonesia,Bachelor’s degree,Statistician,< 1 years,Python
Nigeria,No formal education past high school,Data Scientist,1-2 years,R
Peru,Doctoral degree,Research Scientist,3-5 years,Python
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Product/Project Manager,5-10 years,Python
South Africa,Doctoral degree,Software Engineer,10-20 years,Python
Germany,Doctoral degree,Research Scientist,10-20 years,Python
Morocco,Master’s degree,Currently not employed,3-5 years,Python
Morocco,Master’s degree,Data Engineer,3-5 years,Python
United States of America,Master’s degree,Product/Project Manager,10-20 years,Python
United States of America,Master’s degree,Other,10-20 years,Python
India,,,,
India,Bachelor’s degree,Student,1-2 years,Python
Thailand,Bachelor’s degree,Student,< 1 years,C
United States of America,Bachelor’s degree,Other,< 1 years,Python
Other,Doctoral degree,Student,3-5 years,Python
India,Bachelor’s degree,Student,3-5 years,Python
Thailand,Master’s degree,Data Scientist,3-5 years,Python
India,Master’s degree,Research Scientist,10-20 years,R
Canada,Master’s degree,Data Analyst,1-2 years,SQL
India,Master’s degree,Data Analyst,3-5 years,Python
Other,No formal education past high school,Software Engineer,5-10 years,Python
Mexico,Doctoral degree,Research Scientist,< 1 years,Python
India,Bachelor’s degree,Other,< 1 years,C++
Kenya,Bachelor’s degree,Student,1-2 years,Python
Poland,Master’s degree,Data Engineer,10-20 years,Python
Viet Nam,Master’s degree,Business Analyst,3-5 years,R
Pakistan,Bachelor’s degree,Student,3-5 years,MATLAB
Nigeria,Master’s degree,Data Scientist,< 1 years,SQL
India,Bachelor’s degree,Student,3-5 years,Python
India,Master’s degree,Product/Project Manager,3-5 years,Python
Singapore,Bachelor’s degree,Student,1-2 years,Python
Other,,,,
Other,Bachelor’s degree,Student,3-5 years,Python
United States of America,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Python
Ukraine,Doctoral degree,Research Scientist,3-5 years,Python
Taiwan,Master’s degree,Software Engineer,5-10 years,Python
India,Master’s degree,Currently not employed,< 1 years,Python
Other,I prefer not to answer,Software Engineer,10-20 years,Bash
Turkey,Professional degree,Software Engineer,3-5 years,Other
India,Bachelor’s degree,Software Engineer,1-2 years,Python
Indonesia,Master’s degree,Data Analyst,3-5 years,R
India,Bachelor’s degree,Data Engineer,1-2 years,Python
Nigeria,Professional degree,Data Engineer,1-2 years,Python
Nigeria,Bachelor’s degree,Other,3-5 years,Python
Germany,Master’s degree,,,
Pakistan,Master’s degree,Data Analyst,< 1 years,Python
Saudi Arabia,Bachelor’s degree,Other,< 1 years,Python
Pakistan,Master’s degree,Student,1-2 years,Python
Nepal,Master’s degree,Student,1-2 years,Python
Other,Master’s degree,Machine Learning Engineer,,
Australia,Doctoral degree,Research Scientist,5-10 years,Python
Japan,Master’s degree,Software Engineer,20+ years,Python
India,Master’s degree,Currently not employed,1-2 years,Python
Ukraine,Master’s degree,Data Engineer,20+ years,Python
India,Bachelor’s degree,Student,3-5 years,Python
United States of America,Master’s degree,Data Scientist,3-5 years,Python
Colombia,Master’s degree,Research Scientist,5-10 years,Python
United States of America,Master’s degree,Data Analyst,3-5 years,Python
United States of America,Doctoral degree,Data Scientist,20+ years,Python
Peru,Master’s degree,Research Scientist,1-2 years,Javascript
India,Master’s degree,Data Scientist,3-5 years,Python
Italy,Bachelor’s degree,Statistician,3-5 years,R
India,Doctoral degree,Machine Learning Engineer,< 1 years,Python
China,Some college/university study without earning a bachelor’s degree,Student,< 1 years,Python
India,Bachelor’s degree,Student,1-2 years,Python
Bangladesh,Master’s degree,Data Scientist,3-5 years,Python
United States of America,Bachelor’s degree,Other,20+ years,Python
India,Master’s degree,Student,5-10 years,Python
United States of America,Master’s degree,Business Analyst,1-2 years,Python
Australia,Master’s degree,Currently not employed,5-10 years,Python
United States of America,Master’s degree,Data Engineer,10-20 years,SQL
Other,Master’s degree,Machine Learning Engineer,3-5 years,Python
United States of America,Master’s degree,Data Scientist,5-10 years,SQL
Canada,Bachelor’s degree,Data Analyst,5-10 years,SQL
Tunisia,Doctoral degree,Student,1-2 years,Python
Argentina,Master’s degree,Business Analyst,1-2 years,Python
Nigeria,Bachelor’s degree,Data Scientist,< 1 years,Python
Kenya,Bachelor’s degree,Data Analyst,< 1 years,R
Singapore,Doctoral degree,Research Scientist,20+ years,Python
Spain,Master’s degree,Currently not employed,5-10 years,Python
Pakistan,Master’s degree,Data Scientist,1-2 years,Python
India,Master’s degree,Business Analyst,< 1 years,Python
India,Bachelor’s degree,Other,1-2 years,Python
Taiwan,Bachelor’s degree,Software Engineer,10-20 years,
India,Master’s degree,Currently not employed,3-5 years,Python
France,Master’s degree,Research Scientist,10-20 years,Python
Japan,No formal education past high school,Software Engineer,20+ years,Python
India,Bachelor’s degree,Student,3-5 years,Python
Japan,Bachelor’s degree,Other,20+ years,Python
Russia,Bachelor’s degree,Data Scientist,3-5 years,Python
India,Master’s degree,Data Scientist,20+ years,Other
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Currently not employed,10-20 years,Python
Saudi Arabia,Doctoral degree,Data Scientist,3-5 years,Python
Belarus,I prefer not to answer,Currently not employed,< 1 years,Python
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Business Analyst,3-5 years,Python
Russia,Bachelor’s degree,Machine Learning Engineer,3-5 years,Python
Spain,I prefer not to answer,Software Engineer,20+ years,R
Russia,Master’s degree,Currently not employed,< 1 years,Python
Japan,Master’s degree,Other,1-2 years,Python
United States of America,Master’s degree,Student,3-5 years,Python
India,Master’s degree,Other,5-10 years,Python
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,5-10 years,Python
United States of America,Doctoral degree,Student,1-2 years,Python
Germany,Master’s degree,Data Scientist,20+ years,Java
Portugal,Master’s degree,Currently not employed,5-10 years,R
India,Bachelor’s degree,Business Analyst,3-5 years,Python
Mexico,Master’s degree,Student,3-5 years,Python
India,Bachelor’s degree,Student,1-2 years,Python
India,Bachelor’s degree,Student,1-2 years,C
India,Master’s degree,Research Scientist,10-20 years,Python
India,Bachelor’s degree,Currently not employed,3-5 years,SQL
Germany,Bachelor’s degree,Software Engineer,20+ years,Python
United States of America,Bachelor’s degree,Data Analyst,3-5 years,SQL
Brazil,Master’s degree,Data Scientist,10-20 years,Python
India,Bachelor’s degree,Software Engineer,3-5 years,Python
Ukraine,Bachelor’s degree,Data Scientist,3-5 years,Python
Italy,Master’s degree,Software Engineer,10-20 years,Python
Other,Master’s degree,Data Scientist,3-5 years,Python
Ghana,Master’s degree,Data Analyst,< 1 years,Python
Taiwan,Master’s degree,Student,3-5 years,
Turkey,,,,
Other,Master’s degree,DBA/Database Engineer,1-2 years,Python
United States of America,Bachelor’s degree,Currently not employed,1-2 years,Python
United States of America,Master’s degree,Product/Project Manager,3-5 years,SQL
Peru,Master’s degree,Machine Learning Engineer,3-5 years,Python
India,Bachelor’s degree,Student,1-2 years,Python
India,Bachelor’s degree,Student,< 1 years,Python
South Korea,Doctoral degree,Student,3-5 years,Python
Chile,Bachelor’s degree,Other,3-5 years,Python
United States of America,Bachelor’s degree,Product/Project Manager,< 1 years,Python
India,Bachelor’s degree,Currently not employed,< 1 years,R
India,Bachelor’s degree,Student,< 1 years,Python
United States of America,Doctoral degree,Student,3-5 years,Python
Spain,Master’s degree,Data Analyst,3-5 years,R
Other,Bachelor’s degree,Other,< 1 years,Python
Republic of Korea,Master’s degree,Machine Learning Engineer,5-10 years,Python
India,Bachelor’s degree,Data Analyst,1-2 years,Python
United States of America,Bachelor’s degree,Other,3-5 years,Python
Brazil,Professional degree,Research Scientist,20+ years,R
India,Bachelor’s degree,Machine Learning Engineer,1-2 years,Python
Other,Master’s degree,Currently not employed,< 1 years,Python
India,Bachelor’s degree,Student,1-2 years,Python
India,I prefer not to answer,Software Engineer,5-10 years,Python
India,Master’s degree,Student,3-5 years,C
Turkey,Bachelor’s degree,Software Engineer,1-2 years,Python
Other,Master’s degree,Business Analyst,5-10 years,R
United States of America,Master’s degree,Data Scientist,10-20 years,R
Other,Master’s degree,Other,1-2 years,Python
China,,,,
India,Bachelor’s degree,Software Engineer,10-20 years,
Morocco,Doctoral degree,Research Scientist,1-2 years,Python
India,Master’s degree,Research Scientist,10-20 years,Python
Turkey,Bachelor’s degree,Student,3-5 years,R
